iter	Passed	Remaining
768	3218	966
769	3222	962
770	3227	958
771	3231	954
772	3235	950
773	3239	945
774	3243	941
775	3247	937
776	3251	933
777	3255	928
778	3259	924
779	3263	920
780	3268	916
781	3272	912
782	3277	908
783	3281	904
784	3285	899
785	3290	895
786	3294	891
787	3298	887
788	3303	883
789	3307	879
790	3311	875
791	3315	870
792	3320	866
793	3324	862
794	3328	858
795	3332	853
796	3336	849
797	3340	845
798	3344	841
799	3348	837
800	3352	832
801	3356	828
802	3360	824
803	3365	820
804	3369	816
805	3373	811
806	3377	807
807	3381	803
808	3385	799
809	3389	795
810	3393	790
811	3398	786
812	3402	782
813	3406	778
814	3410	774
815	3414	769
816	3418	765
817	3422	761
818	3426	757
819	3431	753
820	3435	748
821	3443	745
822	3448	741
823	3453	737
824	3457	733
825	3461	729
826	3465	724
827	3469	720
828	3473	716
829	3478	712
830	3482	708
831	3486	704
832	3490	699
833	3494	695
834	3507	693
835	3511	688
836	3515	684
837	3519	680
838	3524	676
839	3528	672
840	3532	667
841	3536	663
842	3540	659
843	3544	655
844	3549	651
845	3553	646
846	3557	642
847	3561	638
848	3565	634
849	3581	632
850	3586	627
851	3590	623
852	3595	619
853	3599	615
854	3603	611
855	3607	606
856	3611	602
857	3616	598
858	3620	594
859	3624	590
860	3628	585
861	3633	581
862	3637	577
863	3641	573
864	3645	568
865	3649	564
866	3653	560
867	3658	556
868	3662	552
869	3666	547
870	3670	543
871	3674	539
872	3679	535
873	3683	531
874	3687	526
875	3691	522
876	3695	518
877	3700	514
878	3704	509
879	3708	505
880	3712	501
881	3716	497
882	3720	493
883	3725	488
884	3729	484
885	3733	480
886	3737	476
887	3741	471
888	3745	467
889	3749	463
890	3753	459
891	3758	455
892	3762	450
893	3766	446
894	3770	442
895	3774	438
896	3779	433
897	3783	429
898	3787	425
899	3791	421
900	3795	417
901	3800	412
902	3804	408
903	3808	404
904	3812	400
905	3817	396
906	3821	391
907	3825	387
908	3829	383
909	3833	379
910	3837	374
911	3842	370
912	3846	366
913	3850	362
914	3854	358
915	3858	353
916	3863	349
917	3867	345
918	3871	341
919	3875	337
920	3879	332
921	3884	328
922	3888	324
923	3892	320
924	3896	315
925	3900	311
926	3905	307
927	3909	303
928	3913	299
929	3917	294
930	3922	290
931	3926	286
932	3930	282
933	3934	278
934	3938	273
935	3943	269
936	3947	265
937	3951	261
938	3955	256
939	3959	252
940	3963	248
941	3967	244
942	3972	240
943	3977	235
944	3980	231
945	3985	227
946	3989	223
947	3993	219
948	3997	214
949	4001	210
950	4005	206
951	4009	202
952	4013	197
953	4017	193
954	4021	189
955	4026	185
956	4030	181
957	4035	176
958	4039	172
959	4043	168
960	4047	164
961	4051	160
962	4055	155
963	4059	151
964	4064	147
965	4068	143
966	4072	138
967	4076	134
968	4080	130
969	4084	126
970	4088	122
971	4093	117
972	4097	113
973	4101	109
974	4105	105
975	4110	101
976	4114	96
977	4118	92
978	4122	88
979	4127	84
980	4131	80
981	4135	75
982	4139	71
983	4143	67
984	4148	63
985	4151	58
986	4156	54
987	4160	50
988	4164	46
989	4169	42
990	4173	37
991	4177	33
992	4181	29
993	4185	25
994	4190	21
995	4194	16
996	4198	12
997	4203	8
998	4207	4
999	4211	0
