iter	MultiClass_SumError	MultiClass_SumWeight
342	150.0458645	590
343	149.933106	590
344	150.0695761	590
345	150.2872045	590
346	150.3298735	590
347	150.6057365	590
348	150.4823426	590
349	149.8820797	590
350	149.5886177	590
351	147.8661143	590
352	147.9821498	590
353	148.5775601	590
354	148.4292515	590
355	148.019288	590
356	147.8629266	590
357	148.5144818	590
358	147.8292887	590
359	146.7917835	590
360	146.3420799	590
361	146.2746037	590
362	146.1967335	590
363	146.3681347	590
364	146.2467358	590
365	145.237662	590
366	144.3927575	590
367	144.0820594	590
368	143.8988573	590
369	144.0917059	590
370	143.6679873	590
371	143.1987615	590
372	142.9800256	590
373	143.1843118	590
374	143.1492099	590
375	142.9121737	590
376	142.2208991	590
377	142.3174483	590
378	142.3424153	590
379	142.1406318	590
380	142.3180403	590
381	142.3177336	590
382	142.2247595	590
383	142.4071814	590
384	142.1863727	590
385	142.1604193	590
386	142.388867	590
387	142.0750581	590
388	141.4517097	590
389	141.7145001	590
390	141.6839181	590
391	141.2454909	590
392	141.0815793	590
393	141.1146021	590
394	141.2394434	590
395	141.2605872	590
396	141.1997544	590
397	141.1621631	590
398	140.842572	590
399	141.4124133	590
400	141.3483883	590
401	141.2474567	590
402	140.6774143	590
403	141.4663798	590
404	141.1131892	590
405	140.9411022	590
406	140.9166282	590
407	140.1436102	590
408	139.9962009	590
409	140.0132217	590
410	139.8065303	590
411	139.3216808	590
412	139.0862508	590
413	138.9741516	590
414	139.3412422	590
415	139.4041532	590
416	138.9566826	590
417	138.7574406	590
418	138.3893604	590
419	138.4367022	590
420	137.2581115	590
421	137.0563236	590
422	136.8101138	590
423	136.7963956	590
424	136.8000199	590
425	136.4942615	590
426	136.7373601	590
427	136.7695123	590
428	136.7687643	590
429	137.3790474	590
430	137.2059123	590
431	137.5481813	590
432	137.8433593	590
433	137.9127221	590
434	138.0603511	590
435	137.7236335	590
436	137.1985132	590
437	136.4237071	590
438	136.6847109	590
439	136.7096497	590
440	136.6659187	590
441	137.0373981	590
442	136.6686177	590
443	136.6034516	590
444	136.5368437	590
445	136.9169637	590
446	136.8642624	590
447	136.9655808	590
448	137.0199591	590
449	137.0997032	590
450	137.1935469	590
451	137.2952157	590
452	137.4800455	590
453	137.4845686	590
454	137.4311649	590
455	137.1374734	590
456	136.5029131	590
457	136.4374928	590
458	136.5411985	590
459	136.6930021	590
460	136.7670147	590
461	136.6695481	590
462	136.8074772	590
463	136.9328937	590
464	136.9454864	590
465	136.9506199	590
466	136.6437747	590
467	136.7719683	590
468	136.7432799	590
469	136.7048669	590
470	136.4953294	590
471	136.3258614	590
472	135.8115073	590
473	135.6033373	590
474	135.0108472	590
475	135.0079856	590
476	135.4679926	590
477	135.5630358	590
478	135.2290727	590
479	135.6864374	590
480	136.0184883	590
481	135.9639222	590
482	135.6992929	590
483	135.5351332	590
484	135.5259459	590
485	135.5246621	590
486	135.5919167	590
487	135.6890622	590
488	136.9407545	590
489	137.0382868	590
490	137.1017703	590
491	137.1683127	590
492	137.341531	590
493	136.5901877	590
494	136.7793944	590
495	136.4982735	590
496	136.4938525	590
497	136.6723728	590
498	136.7032753	590
499	136.7655133	590
500	136.8357557	590
501	136.9083045	590
502	136.8704556	590
503	136.7463309	590
504	137.3629583	590
505	137.1649928	590
506	137.2228856	590
507	136.6513287	590
508	136.6337112	590
509	136.6081066	590
510	136.619221	590
511	136.9131307	590
512	136.8784182	590
513	136.8325167	590
514	136.6987003	590
515	136.1037198	590
516	135.6009006	590
517	135.1086181	590
518	134.9361148	590
519	133.8424705	590
520	133.710335	590
521	133.6420661	590
522	133.8941886	590
523	134.1979354	590
524	133.9520868	590
525	133.7914383	590
526	133.9661733	590
527	133.8992746	590
528	133.0376054	590
529	132.9939736	590
530	133.2256003	590
531	133.5434461	590
532	133.6300365	590
533	133.5017424	590
534	133.7967188	590
535	133.7739066	590
536	132.4865252	590
537	132.2833118	590
538	131.9436979	590
539	131.8954402	590
540	131.8220346	590
541	131.6857472	590
542	132.0350151	590
543	131.6918944	590
544	131.859838	590
545	131.0337893	590
546	131.414729	590
547	131.7616784	590
548	131.6378363	590
549	131.6862997	590
550	131.7717471	590
551	131.8132792	590
552	131.7516611	590
553	131.3252847	590
554	131.0428931	590
555	131.4083209	590
556	131.3707049	590
557	130.8669408	590
558	130.4307676	590
559	130.673645	590
560	130.6550329	590
561	130.9505151	590
562	130.5544476	590
563	130.8087871	590
564	130.9872604	590
565	131.0447645	590
566	131.046111	590
567	130.660935	590
568	130.4182984	590
569	130.4900568	590
570	130.3762749	590
571	130.1522007	590
572	130.0868421	590
573	129.9595978	590
574	130.0793806	590
575	129.7243519	590
576	129.9339676	590
577	130.0770301	590
578	130.2144583	590
579	130.2096855	590
580	130.338506	590
581	130.8470962	590
582	130.8960769	590
583	130.7738449	590
584	130.4080457	590
585	130.1927896	590
586	130.1803943	590
587	129.9734865	590
588	130.2877312	590
589	129.60679	590
590	129.8932424	590
591	129.9397311	590
592	129.3790572	590
593	129.401155	590
594	129.3638244	590
595	129.4800339	590
596	129.5586932	590
597	129.313712	590
598	129.1497225	590
599	129.2740154	590
600	129.2517589	590
601	129.3415552	590
602	129.3937344	590
603	129.4886656	590
604	129.7519444	590
605	129.5930134	590
606	129.6411938	590
607	129.7669039	590
608	129.4826216	590
609	129.5870508	590
610	129.1146573	590
611	129.2602026	590
612	129.2533125	590
613	129.0061746	590
614	129.1272795	590
615	129.234965	590
616	129.1653919	590
617	128.9600584	590
618	128.8867277	590
619	129.2520423	590
620	128.9497277	590
621	128.9545316	590
622	129.4049242	590
623	129.3480051	590
624	129.3390987	590
625	128.2791858	590
626	128.2997702	590
627	128.4538683	590
628	128.4674459	590
629	128.6308178	590
630	128.5224276	590
631	128.4700437	590
632	128.5689269	590
633	128.6247373	590
634	128.5731813	590
635	128.6045092	590
636	128.7683071	590
637	128.4664827	590
638	128.6164731	590
639	128.6352514	590
640	129.147345	590
641	129.5502842	590
642	129.6621333	590
643	129.848496	590
644	130.01317	590
645	130.0508563	590
646	130.0179912	590
647	129.0445165	590
648	128.8505936	590
649	128.8329363	590
650	129.1101949	590
651	129.4868986	590
652	129.5467744	590
653	129.4509414	590
654	129.2518164	590
655	129.7914156	590
656	130.20497	590
657	130.2174875	590
658	130.3681553	590
659	130.4151257	590
660	130.4915011	590
661	131.0773576	590
662	131.0531433	590
663	131.4024541	590
664	131.2854953	590
665	131.3670797	590
666	131.3272073	590
667	131.3260085	590
668	131.3331446	590
669	131.7356807	590
670	131.4673958	590
671	131.4748579	590
672	131.2521749	590
673	131.0547249	590
674	131.0408573	590
675	131.0207971	590
676	131.3428886	590
677	130.99668	590
678	130.9548211	590
679	130.8289925	590
680	131.161406	590
681	131.1353457	590
682	131.1643719	590
683	130.1914664	590
684	130.3376705	590
685	130.8863548	590
686	130.9278826	590
687	130.911876	590
688	130.7393863	590
689	130.6427301	590
690	130.1889433	590
691	130.1805116	590
692	130.1109587	590
693	130.5022473	590
694	130.6814435	590
695	130.9569545	590
696	130.9516031	590
697	130.7574177	590
698	130.776614	590
699	130.6254493	590
700	130.8428806	590
701	130.9565221	590
702	130.9660257	590
703	130.5648046	590
704	130.8732601	590
705	130.5479108	590
706	130.3576834	590
707	130.433373	590
708	130.5614926	590
709	129.8709538	590
710	129.6466761	590
711	129.5099514	590
712	129.6706341	590
713	129.2324855	590
714	129.3778805	590
715	128.8658078	590
716	128.5946383	590
717	129.0647789	590
718	128.8308039	590
719	128.8325595	590
720	128.9311527	590
721	129.1539867	590
722	128.9539927	590
723	129.2306965	590
724	129.7275716	590
725	130.0406336	590
726	129.8751188	590
727	130.1670703	590
728	130.2515694	590
729	129.8313301	590
730	129.915906	590
731	129.9628381	590
732	130.3402317	590
733	130.1222625	590
734	130.0335997	590
735	130.015053	590
736	130.0163364	590
737	129.9809102	590
738	130.1272714	590
739	130.5242804	590
740	129.4943171	590
741	129.5506704	590
742	129.1541792	590
743	129.1038132	590
744	129.0512791	590
745	129.0619575	590
746	129.2129443	590
747	129.1017433	590
748	128.1378215	590
749	128.279889	590
750	128.3303606	590
751	128.8889645	590
752	130.0781697	590
753	130.2989541	590
754	130.0986599	590
755	130.1439887	590
756	130.4720066	590
757	130.2685683	590
758	130.210726	590
759	130.0485527	590
760	129.5749504	590
761	129.5588033	590
762	129.5658087	590
763	129.5153245	590
764	129.5698679	590
765	129.5456041	590
766	129.9768702	590
767	130.2782111	590
768	130.4387891	590
769	130.8384083	590
770	130.9779655	590
771	130.9668438	590
772	131.0832148	590
773	131.0050556	590
774	131.1601614	590
775	131.1897115	590
776	131.1682454	590
777	131.1516443	590
778	131.3631773	590
779	131.3791796	590
780	130.8610996	590
781	130.832762	590
782	130.1412073	590
783	130.360068	590
784	130.4231162	590
785	130.7386072	590
786	130.813658	590
787	130.7493274	590
788	130.5899057	590
789	130.3510047	590
790	130.6503238	590
791	130.5397462	590
792	130.273778	590
793	130.476094	590
794	130.420021	590
795	130.2576372	590
796	130.4782404	590
797	130.5444181	590
798	130.5745864	590
799	130.0659622	590
800	129.9881604	590
801	130.0688523	590
802	130.1099021	590
803	129.9763277	590
804	129.980586	590
805	129.3075956	590
806	129.5575858	590
807	129.3668204	590
808	129.3714367	590
809	129.520264	590
810	129.5085776	590
811	129.676506	590
812	129.5133071	590
813	129.4669358	590
814	129.1519434	590
815	129.018361	590
816	129.1504572	590
817	128.8167628	590
818	129.5051961	590
819	129.5060696	590
820	129.4854138	590
821	129.5387285	590
822	128.769687	590
823	128.6588709	590
824	128.2542665	590
825	128.3862072	590
826	128.642767	590
827	128.2779472	590
828	128.3732827	590
829	128.3431283	590
830	128.431329	590
831	128.4831143	590
832	128.2251977	590
833	128.3429483	590
834	128.1295011	590
835	128.2386221	590
836	128.1558415	590
837	127.7326624	590
838	127.7099294	590
839	126.7853109	590
840	126.5859927	590
841	126.6142352	590
842	126.0323386	590
843	125.9451134	590
844	126.0757895	590
845	125.9202787	590
846	125.610143	590
847	125.8144556	590
848	125.4196184	590
849	125.4036047	590
850	125.6757635	590
851	125.5855049	590
852	125.584773	590
853	125.5325254	590
854	125.8277419	590
855	125.5476782	590
856	125.4096406	590
857	125.8950627	590
858	126.1350475	590
859	126.3298816	590
860	126.4568055	590
861	126.8274379	590
862	127.1109021	590
863	127.0160613	590
864	127.0292622	590
865	127.3930256	590
866	127.6558235	590
867	127.8057456	590
868	127.5690535	590
869	127.6860083	590
870	127.6638132	590
871	127.1500771	590
872	127.3730676	590
873	127.1077479	590
874	127.3769684	590
875	127.4561047	590
876	127.5464252	590
877	127.5780516	590
878	127.5515655	590
879	127.5592539	590
880	127.2905295	590
881	127.2266465	590
882	127.5348271	590
883	127.5341157	590
884	128.0599048	590
885	127.86334	590
886	127.8443245	590
887	127.7347002	590
888	127.8359924	590
889	128.2219134	590
890	128.0047798	590
891	127.9941617	590
892	127.9437579	590
893	127.875221	590
894	127.9860184	590
895	127.9884332	590
896	128.1161461	590
897	128.0406815	590
898	128.104336	590
899	127.9703121	590
900	127.7351841	590
901	127.108447	590
902	127.0875314	590
903	127.4111843	590
904	127.3040105	590
905	127.3860227	590
906	127.3900879	590
907	126.4408849	590
908	126.444852	590
909	126.3516706	590
910	126.3547805	590
911	126.3431242	590
912	126.4697075	590
913	126.6105267	590
914	126.9889231	590
915	127.3613175	590
916	127.0261909	590
917	127.7755687	590
918	127.780967	590
919	127.379024	590
920	127.6519798	590
921	127.8249008	590
922	127.8144377	590
923	127.610263	590
924	127.4889792	590
925	127.6248559	590
926	127.5630573	590
927	127.5021233	590
928	127.5844006	590
929	127.6891867	590
930	127.5671372	590
931	127.8880054	590
932	127.6609394	590
933	127.7436812	590
934	127.6426611	590
935	127.6729491	590
936	127.6317845	590
937	127.6577176	590
938	127.6544217	590
939	127.6201636	590
940	127.6520262	590
941	127.5082802	590
942	127.5709958	590
943	127.127326	590
944	127.1310253	590
945	127.0727072	590
946	126.9051987	590
947	126.9987255	590
948	127.0790765	590
949	127.3720676	590
950	127.3971456	590
951	127.5969334	590
952	127.5822641	590
953	127.2778263	590
954	127.1603112	590
955	127.0409271	590
956	126.8120875	590
957	126.98476	590
958	127.0579069	590
959	127.3450091	590
960	127.3102209	590
961	127.5092561	590
962	127.3029529	590
963	127.4718251	590
964	127.426517	590
965	127.5314506	590
966	127.4229107	590
967	127.417915	590
968	127.3827547	590
969	127.7485789	590
970	127.7333522	590
971	127.5994322	590
972	127.5903794	590
973	127.3815333	590
974	127.4289104	590
975	127.2302975	590
976	127.3936314	590
977	127.4218986	590
978	127.3660335	590
979	127.5751319	590
980	127.3278266	590
981	127.2182136	590
982	127.4415384	590
983	127.6273681	590
984	127.8071672	590
985	127.75129	590
986	126.9677124	590
987	127.5203791	590
988	127.4577763	590
989	127.3113122	590
990	127.298987	590
991	127.1533432	590
992	127.416129	590
993	127.3971795	590
994	127.2048115	590
995	127.4329782	590
996	127.5105165	590
997	127.6557527	590
998	127.2741356	590
999	127.3213998	590
